0xf1dc 0xfc8c E 675567660
0xf1dc 0xfc8c X 675568490
0xf1dc 0xfe0e E 675569318
0xf1dc 0xfe0e X 675570072
0xf1dc 0xfc8c E 675570834
0xf1dc 0xfc8c X 675571619
0xf1dc 0xfe0e E 675572421
0xf1dc 0xfe0e X 675573164
0xf1dc 0xfc8c E 675573898
0xf1dc 0xfc8c X 675574674
0xf1dc 0xfe0e E 675575464
0xf1dc 0xfe0e X 675576209
0xf470 0xfe70 E 675576965
0xf470 0xfe70 X 675578262
0xf8cc 0xfe8c E 675579091
0x12c08 0xf9a1 E 675579927
0x12c08 0xf9a1 X 675580758
0x12c08 0xf9a1 E 675581714
0x12c08 0xf9a1 X 675582456
0x12c08 0xf9a1 E 675583249
0x12c08 0xf9a1 X 675584000
0x12c08 0xf9a1 E 675584824
0x12c08 0xf9a1 X 675585562
0x12c08 0xf9a1 E 675586560
0x12c08 0xf9a1 X 675587322
0x12c08 0xf9a1 E 675588086
0x12c08 0xf9a1 X 675588789
0x12c08 0xf9a1 E 675589532
0x12c08 0xf9a1 X 675590246
0x12c08 0xf9a1 E 675590988
0x12c08 0xf9a1 X 675591768
0x12c08 0xf9a1 E 675592986
0x12c08 0xf9a1 X 675593728
0x12c08 0xf9a1 E 675594451
0x12c08 0xf9a1 X 675595245
0xf8cc 0xfe8c X 675596016
0xf9f2 0x11b0c X 675596813
0xf9f2 0x11b26 E 675597626
0xf1dc 0xfc27 E 675598596
0xf1dc 0xfc27 X 675599392
0xf1dc 0xfc8c E 675600178
0xf1dc 0xfc8c X 675600896
0xf1dc 0xfe0e E 675601717
0xf1dc 0xfe0e X 675602582
0xf470 0xfe70 E 675603255
0xf470 0xfe70 X 675604029
0xf8cc 0xfe8c E 675604622
0x12c08 0xf9a1 E 675605291
0x12c08 0xf9a1 X 675605839
0x12c08 0xf9a1 E 675606445
0x12c08 0xf9a1 X 675606980
0xf8cc 0xfe8c X 675607522
0xf9f2 0x11b26 X 675608087
0x10d8d 0x11b32 E 675608623
0xfea2 0x10dd1 E 675609150
0xfea2 0x10dd1 X 675610983
0xfea2 0x10df5 E 675611588
0xfea2 0x10df5 X 675612293
0xf9f2 0x10e0f E 675612793
0xf1dc 0xfc27 E 675613426
0xf1dc 0xfc27 X 675614118
